sample,total_sequencing_size,total_reads,strategy,assembly,assembly_num_seqs,assembly_sum_len,assembly_min_len,assembly_avg_len,assembly_max_len,msp_count,gene_count,N50,L50,NA50,auNA,LA50,(N50-NA50)/N50,(L50-LA50)/L50
SAMEA2467016,10000004509,2278837,LR,LR (metaflye),2606,132947755,1046,51016.0,2168610,198,481850,101308,272,98961,238593.7,286,0.0231669759545149,-0.0514705882352941
SAMEA2467016,10000000200,66666668,SR,SR (megahit),48667,300874938,1000,6182.3,2504308,198,481850,28608,1601,19948,64875.4,2510,0.3027125279642058,-0.5677701436602124
SAMEA2467017,10000002863,34471807,Hybrid,Hybrid (hybridspades),34800,300267629,1000,8628.4,2314218,213,516872,33924,1222,22657,100519.9,2367,0.3321247494399245,-0.936988543371522
SAMEA2467017,10000002568,2276930,LR,LR (metaflye),3316,128261040,1014,38679.4,1344136,213,516872,64709,456,62015,139424.3,471,0.0416325395230957,-0.0328947368421052
SAMEA2467017,10000000200,66666668,SR,SR (megahit),57389,334221933,1000,5823.8,1465875,213,516872,23853,2179,16454,50702.3,3537,0.3101915901563745,-0.6232216613125287
SAMEA2467020,10000000878,34470768,Hybrid,Hybrid (hybridspades),39548,369166350,1000,9334.6,2629588,274,595896,34926,1804,23051,59975.9,3222,0.340004581114356,-0.7860310421286031
SAMEA2467020,10000003799,2275580,LR,LR (metaflye),4623,160827022,1062,34788.5,721413,274,595896,57366,678,54686,99609.2,710,0.0467175678973608,-0.0471976401179941
SAMEA2467020,10000000200,66666668,SR,SR (megahit),62014,400792839,1000,6462.9,1228453,274,595896,29022,2452,19418,49562.3,3989,0.3309213699951761,-0.6268352365415987
SAMEA2467021,10000005938,34471031,Hybrid,Hybrid (hybridspades),31845,312559761,1000,9815.0,2434514,235,551491,45997,920,31524,115126.1,1660,0.3146509554970976,-0.8043478260869565
SAMEA2467021,10000005267,2277380,LR,LR (metaflye),2919,139363326,1085,47743.5,1564181,235,551491,89988,328,86337,199398.2,345,0.0405720762768369,-0.0518292682926829
SAMEA2467021,10000000200,66666668,SR,SR (megahit),48547,332667509,1000,6852.5,960666,235,551491,30454,1911,22971,60201.2,2678,0.2457148486241544,-0.4013605442176871
SAMEA2467029,10000000981,34471676,Hybrid,Hybrid (hybridspades),38151,307946674,1000,8071.8,2758091,281,562502,28706,1371,20697,96793.9,2569,0.2790009057339929,-0.8738147337709701
SAMEA2467029,10000007340,2276546,LR,LR (metaflye),3503,133706614,1253,38169.2,1719510,281,562502,66372,446,64389,174812.8,458,0.0298770565901283,-0.0269058295964125
SAMEA2467029,10000000200,66666668,SR,SR (megahit),62934,335904850,1000,5337.4,1789297,281,562502,19610,2629,14110,44576.9,4162,0.2804691483936767,-0.5831114492202358
SAMEA2467031,10000001909,34472140,Hybrid,Hybrid (hybridspades),36534,323550975,1000,8856.2,2678873,260,562643,36807,1317,24668,62917.3,2600,0.3298013964734969,-0.9741837509491268
SAMEA2467031,10000010327,2277944,LR,LR (metaflye),3747,142644046,1050,38068.9,1726372,260,562643,61488,548,58870,119336.8,571,0.0425774134790528,-0.041970802919708
SAMEA2467031,10000000200,66666668,SR,SR (megahit),64749,351575092,1000,5429.8,2173672,260,562643,24839,2244,16848,43292.3,3809,0.32171182414751,-0.6974153297682709
SAMEA2467035,10000002982,34470561,Hybrid,Hybrid (hybridspades),48350,376684849,1000,7790.8,2169013,297,654602,27168,1827,19949,113045.3,3185,0.2657170200235571,-0.7432950191570882
